#       r/R             l_rad/L
      0.98495333   3.8791204e-06
      0.98488980   3.9384598e-06
      0.98482594   3.9980477e-06
      0.98476177   4.0577611e-06
      0.98469727   4.1183714e-06
      0.98463244   4.1800420e-06
      0.98456728   4.2427199e-06
      0.98450178   4.3063668e-06
      0.98443595   4.3708987e-06
      0.98436977   4.4362697e-06
      0.98430326   4.5024650e-06
      0.98423639   4.5694730e-06
      0.98416918   4.6372837e-06
      0.98410162   4.7058883e-06
      0.98403371   4.7752683e-06
      0.98396544   4.8453341e-06
      0.98389681   4.9160583e-06
      0.98382782   4.9874330e-06
      0.98375846   5.0594548e-06
      0.98368874   5.1321259e-06
      0.98361865   5.2054562e-06
      0.98354819   5.2789836e-06
      0.98347736   5.3522052e-06
      0.98340615   5.4254134e-06
      0.98333456   5.4988515e-06
      0.98326260   5.5727314e-06
      0.98319025   5.6472301e-06
      0.98311752   5.7225141e-06
      0.98304440   5.7986556e-06
      0.98297089   5.8758489e-06
      0.98289699   5.9543425e-06
      0.98282270   6.0344425e-06
      0.98274801   6.1165466e-06
      0.98267293   6.2009641e-06
      0.98259744   6.2854923e-06
      0.98252156   6.3698446e-06
      0.98244527   6.4544407e-06
      0.98236858   6.5396229e-06
      0.98229148   6.6256927e-06
      0.98221397   6.7129296e-06
      0.98213604   6.8015300e-06
      0.98205771   6.8917505e-06
      0.98197896   6.9839124e-06
      0.98189979   7.0784105e-06
      0.98182021   7.1757626e-06
      0.98174020   7.2764988e-06
      0.98165977   7.3799460e-06
      0.98157891   7.4857804e-06
      0.98149762   7.5939021e-06
      0.98141591   7.7042606e-06
      0.98133376   7.8168334e-06
      0.98125118   7.9315369e-06
      0.98116817   8.0481776e-06
      0.98108472   8.1666659e-06
      0.98100084   8.2869016e-06
      0.98091652   8.4087599e-06
      0.98083176   8.5320662e-06
      0.98074657   8.6564422e-06
      0.98066093   8.7814979e-06
      0.98057485   8.9070759e-06
      0.98048833   9.0350810e-06
      0.98040136   9.1657461e-06
      0.98031396   9.2989283e-06
      0.98022611   9.4344183e-06
      0.98013781   9.5720965e-06
      0.98004908   9.7118720e-06
      0.97995990   9.8536847e-06
      0.97987027   9.9971643e-06
      0.97978020   1.0141063e-05
      0.97968969   1.0285609e-05
      0.97959873   1.0431114e-05
      0.97950732   1.0577833e-05
      0.97941546   1.0725984e-05
      0.97932315   1.0875760e-05
      0.97923040   1.1027337e-05
      0.97913719   1.1180879e-05
      0.97904354   1.1336546e-05
      0.97894943   1.1494493e-05
      0.97885487   1.1654867e-05
      0.97875985   1.1817813e-05
      0.97866439   1.1983477e-05
      0.97856846   1.2152015e-05
      0.97847208   1.2323585e-05
      0.97837525   1.2498356e-05
      0.97827795   1.2676504e-05
      0.97818020   1.2858219e-05
      0.97808198   1.3043700e-05
      0.97798330   1.3233161e-05
      0.97788417   1.3426804e-05
      0.97778456   1.3624837e-05
      0.97768450   1.3827520e-05
      0.97758397   1.4035195e-05
      0.97748298   1.4248170e-05
      0.97738152   1.4466789e-05
      0.97727959   1.4691451e-05
      0.97717720   1.4922633e-05
      0.97707434   1.5160962e-05
      0.97697101   1.5407348e-05
      0.97686721   1.5662668e-05
      0.97676295   1.5922396e-05
      0.97665821   1.6185361e-05
      0.97655301   1.6452830e-05
      0.97644733   1.6726147e-05
      0.97634119   1.7006843e-05
      0.97623457   1.7296801e-05
      0.97612748   1.7597566e-05
      0.97601991   1.7908097e-05
      0.97591188   1.8228432e-05
      0.97580336   1.8558754e-05
      0.97569438   1.8899269e-05
      0.97558492   1.9250196e-05
      0.97547498   1.9611762e-05
      0.97536457   1.9984202e-05
      0.97525368   2.0367752e-05
      0.97514231   2.0762654e-05
      0.97503046   2.1169150e-05
      0.97491813   2.1587482e-05
      0.97480531   2.2017905e-05
      0.97469201   2.2461138e-05
      0.97457822   2.2917745e-05
      0.97446393   2.3388077e-05
      0.97434916   2.3872488e-05
      0.97423390   2.4371338e-05
      0.97411815   2.4884991e-05
      0.97400190   2.5413813e-05
      0.97388516   2.5958174e-05
      0.97376792   2.6518448e-05
      0.97365018   2.7095008e-05
      0.97353194   2.7688230e-05
      0.97341318   2.8298547e-05
      0.97329393   2.8926842e-05
      0.97317416   2.9573709e-05
      0.97305388   3.0239647e-05
      0.97293309   3.0925007e-05
      0.97281178   3.1630228e-05
      0.97268995   3.2355828e-05
      0.97256760   3.3102332e-05
      0.97244473   3.3870271e-05
      0.97232133   3.4660184e-05
      0.97219741   3.5472617e-05
      0.97207295   3.6308140e-05
      0.97194795   3.7167605e-05
      0.97182242   3.8051748e-05
      0.97169635   3.8961251e-05
      0.97156974   3.9896800e-05
      0.97144259   4.0859083e-05
      0.97131488   4.1848784e-05
      0.97118663   4.2866567e-05
      0.97105782   4.3913053e-05
      0.97092846   4.4988773e-05
      0.97079854   4.6094062e-05
      0.97066806   4.7231868e-05
      0.97053701   4.8405801e-05
      0.97040540   4.9614764e-05
      0.97027322   5.0857979e-05
      0.97014047   5.2134894e-05
      0.97000714   5.3445083e-05
      0.96987324   5.4788351e-05
      0.96973876   5.6164568e-05
      0.96960371   5.7573641e-05
      0.96946807   5.9022373e-05
      0.96933184   6.0514219e-05
      0.96919503   6.2049899e-05
      0.96905763   6.3630291e-05
      0.96891964   6.5256382e-05
      0.96878106   6.6929234e-05
